ID,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Number,Street,Side,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-161,2016-02-14 18:03:51,2016-02-15 00:03:51,40.049152,-85.682047,40.03744,-85.72343000000002,2.334,At IN-67/IN-9/Exit 22 - Accident.,,IN-9 S,R,Anderson,Madison,IN,46013,US,US/Eastern,KAID,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-278,2016-02-18 08:10:12,2016-02-18 14:10:12,40.49223,-80.01029,40.49463,-80.01246,0.201,At US-19-TRUCK/Evergreen Rd/Exit 11 - Accident.,,I-279 N,R,Pittsburgh,Allegheny,PA,15214,US,US/Eastern,KAGC,2016-02-18 07:53:00,18.0,11.1,81.0,30.53,10.0,North,4.6,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-279,2016-02-18 08:32:39,2016-02-18 14:32:39,41.48836,-81.66471,41.49153,-81.67114000000002,0.398,At Woodland Ave/Exit 162 - Accident.,,I-77 N,R,Cleveland,Cuyahoga,OH,44115,US,US/Eastern,KBKL,2016-02-18 08:53:00,19.9,11.1,71.0,30.59,10.0,SSE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-81,2016-02-11 05:35:40,2016-02-11 11:35:40,41.16102,-81.78573,41.15666,-81.78645999999998,0.304,At I-271/Exit 220 - Accident.,,I-71 S,R,Medina,Medina,OH,44256,US,US/Eastern,KCLE,2016-02-11 05:51:00,14.0,0.5,56.0,30.14,9.0,NW,11.5,0.0,Light Snow,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1908,2016-04-12 17:43:39,2016-04-12 23:43:39,38.42763,-122.341155,38.42772,-122.341237,0.008,Between Trancas St and Silverado Trl - Accident.,6399.0, Silverado Trl,L,Napa,Napa,CA,94558-9747,US,US/Pacific,KAPC,2016-04-12 17:54:00,59.0,,75.0,30.15,10.0,WSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1909,2016-04-12 17:43:39,2016-04-12 23:43:39,38.42772,-122.341237,38.42763,-122.341155,0.008,Between Silverado Trl and Trancas St - Accident.,6399.0, Silverado Trl,L,Napa,Napa,CA,94558-9747,US,US/Pacific,KAPC,2016-04-12 17:54:00,59.0,,75.0,30.15,10.0,WSW,12.7,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2212,2016-04-20 03:07:00,2016-04-20 09:07:00,38.93584,-119.75165,38.92509,-119.74695,0.785,Closed between Sierra Vista Cir and Waterloo Ln - Road closed due to accident.,1351.0, Centerville Ln,R,Gardnerville,Douglas,NV,89410-9746,US,US/Pacific,KTVL,2016-04-20 02:53:00,35.1,,89.0,29.98,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-2213,2016-04-20 03:07:00,2016-04-20 09:07:00,38.92509,-119.74695,38.93584,-119.75165,0.785,Closed between Waterloo Ln and Sierra Vista Cir - Road closed due to accident.,,Centerville Ln,R,Gardnerville,Douglas,NV,89410,US,US/Pacific,KTVL,2016-04-20 02:53:00,35.1,,89.0,29.98,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
